Date,VUG,VWAPY,RIVN,VOOV,OGN,PTON,O,GLD,IAU,INTC,BZFD,AMD,RKLB,AMZN,MRNA,IBM,NFLX,MSFT,IHI,SG,SONO,NXT,STKL
2025-07-18,447.45538330078125,10.390000343322754,13.699999809265137,188.7008056640625,9.414508819580078,6.289999961853027,54.66688919067383,308.3900146484375,63.130001068115234,23.100000381469727,2.2799999713897705,156.99000549316406,51.38999938964844,226.1300048828125,31.260000228881836,280.7922058105469,120.92400360107422,507.1041564941406,59.9389762878418,14.3100004196167,10.520000457763672,60.529998779296875,6.289999961853027
2025-07-21,449.06201171875,10.529999732971191,13.699999809265137,188.8197021484375,9.404556274414062,6.190000057220459,54.58944320678711,313.1300048828125,64.08999633789062,23.260000228881836,2.369999885559082,157.0,47.189998626708984,229.3000030517578,30.969999313354492,279.65283203125,123.3270034790039,507.1141357421875,59.80923843383789,14.0,10.600000381469727,61.529998779296875,6.260000228881836
2025-07-22,446.3476867675781,10.5,14.119999885559082,190.23648071289062,9.772777557373047,6.489999771118164,55.99314498901367,316.1000061035156,64.69999694824219,23.239999771118164,2.440000057220459,154.72000122070312,46.880001068115234,227.47000122070312,32.72999954223633,276.9516906738281,119.00800323486328,502.3517761230469,60.41801071166992,15.220000267028809,10.739999771118164,62.099998474121094,6.590000152587891
2025-07-23,449.461181640625,11.380000114440918,14.020000457763672,191.53439331054688,10.051430702209473,6.769999980926514,56.0318717956543,312.17999267578125,63.90999984741211,23.489999771118164,2.559999942779541,158.64999389648438,49.150001525878906,228.2899932861328,34.66999816894531,277.0008239746094,117.6780014038086,502.94830322265625,61.00682067871094,16.260000228881836,11.180000305175781,62.95000076293945,6.730000019073486
2025-07-24,451.3272705078125,11.140000343322754,13.819999694824219,191.3461456298828,10.021574974060059,6.429999828338623,56.16740036010742,310.2699890136719,63.529998779296875,22.6299991607666,2.430000066757202,162.1199951171875,48.130001068115234,232.22999572753906,34.0099983215332,255.88270568847656,118.07599639892578,507.9294128417969,60.5577278137207,14.289999961853027,11.279999732971191,63.40999984741211,6.559999942779541
2025-07-25,453.283203125,11.680000305175781,14.010000228881836,191.91087341308594,10.16090202331543,6.559999942779541,56.051239013671875,307.3999938964844,62.90999984741211,20.700000762939453,2.380000114440918,166.47000122070312,47.43000030517578,231.44000244140625,34.150001525878906,255.10671997070312,118.04900360107422,510.7430725097656,61.30621337890625,14.779999732971191,11.25,64.52999877929688,6.639999866485596
2025-07-28,454.9896240234375,11.140000343322754,13.779999732971191,191.128173828125,9.922056198120117,6.380000114440918,55.044437408447266,305.4100036621094,62.52000045776367,20.68000030517578,2.4200000762939453,173.66000366210938,45.11000061035156,232.7899932861328,33.90999984741211,258.5346984863281,117.45999908447266,509.5400085449219,61.04673767089844,13.720000267028809,11.4399995803833,65.41000366210938,6.400000095367432
2025-07-29,452.8441162109375,10.949999809265137,13.0600004196167,190.9696502685547,10.091238975524902,6.179999828338623,55.52847671508789,306.25,62.689998626708984,20.40999984741211,2.2899999618530273,177.44000244140625,43.790000915527344,231.00999450683594,32.65999984741211,257.7489318847656,116.8740005493164,509.609619140625,61.33615493774414,13.15999984741211,11.3100004196167,64.9000015258789,6.21999979019165
2025-07-30,453.8719787597656,10.640000343322754,13.029999732971191,189.9987030029297,9.991719245910645,7.340000152587891,54.9766731262207,300.9599914550781,61.619998931884766,20.34000015258789,2.2100000381469727,179.50999450683594,46.439998626708984,230.19000244140625,32.150001525878906,255.63714599609375,118.41999816894531,510.2757568359375,61.276275634765625,13.34000015258789,11.399999618530273,58.880001068115234,6.099999904632568
2025-07-31,454.2312316894531,10.420000076293945,12.869999885559082,188.76025390625,9.65335464477539,7.139999866485596,54.33774948120117,302.9599914550781,62.0099983215332,19.799999237060547,2.1700000762939453,176.30999755859375,45.91999816894531,234.11000061035156,29.559999465942383,248.65341186523438,115.94000244140625,530.4187622070312,59.56972122192383,12.880000114440918,10.8100004196167,58.2599983215332,5.829999923706055
2025-08-01,444.11236572265625,10.270000457763672,12.380000114440918,186.2338104248047,9.70311450958252,6.599999904632568,55.02741241455078,309.1099853515625,63.290000915527344,19.309999465942383,2.0899999141693115,171.6999969482422,44.810001373291016,214.75,27.604999542236328,245.60850524902344,115.86000061035156,521.0829467773438,59.5397834777832,11.930000305175781,10.359999656677246,56.56999969482422,5.699999809265137
2025-08-04,452.6545104980469,10.210000038146973,12.40999984741211,187.94781494140625,9.623498916625977,6.960000038146973,55.883419036865234,310.9100036621094,63.63999938964844,19.5,2.0899999141693115,176.77999877929688,44.540000915527344,211.64999389648438,27.639999389648438,247.5041961669922,117.0989990234375,532.5463256835938,60.97687911987305,12.420000076293945,10.869999885559082,56.30500030517578,5.5
2025-08-05,448.7526550292969,10.399999618530273,12.149999618530273,187.67041015625,8.35960578918457,7.110000133514404,55.640235900878906,311.1600036621094,63.689998626708984,20.190000534057617,2.0999999046325684,174.30999755859375,44.75,213.75,27.469999313354492,246.2174835205078,114.78700256347656,524.7019653320312,60.34815216064453,12.460000038146973,10.859999656677246,56.02000045776367,5.480000019073486
2025-08-06,454.8299865722656,10.569999694824219,11.640000343322754,188.16578674316406,8.678067207336426,7.070000171661377,55.35813903808594,310.5,63.560001373291016,20.40999984741211,2.109999895095825,163.1199951171875,44.099998474121094,222.30999755859375,26.709999084472656,247.7988739013672,117.8479995727539,521.908203125,59.65953826904297,12.319999694824219,11.039999961853027,54.619998931884766,5.190000057220459
2025-08-07,454.7601013183594,10.8100004196167,12.069999694824219,188.78997802734375,9.066191673278809,7.110000133514404,55.533233642578125,313.1199951171875,64.08000183105469,19.770000457763672,2.059999942779541,172.39999389648438,44.209999084472656,223.1300048828125,26.610000610351562,245.71653747558594,118.03700256347656,517.8318481445312,60.51780700683594,12.65999984741211,10.970000267028809,55.720001220703125,5.989999771118164
2025-08-08,458.1829833984375,11.050000190734863,11.789999961853027,190.38510131835938,9.175663948059082,7.840000152587891,55.873687744140625,313.04998779296875,64.05999755859375,19.950000762939453,2.0299999713897705,172.75999450683594,44.689998626708984,222.69000244140625,26.1200008392334,239.5756072998047,121.16400146484375,519.0249633789062,61.19643783569336,9.739999771118164,11.329999923706055,56.209999084472656,6.260000228881836
2025-08-11,457.24493408203125,11.15999984741211,11.930000305175781,189.95907592773438,8.966672897338867,8.25,55.825050354003906,308.54998779296875,63.16999816894531,20.649999618530273,1.9800000190734863,172.27999877929688,45.02000045776367,221.3000030517578,25.469999313354492,233.6719970703125,121.83100128173828,518.7565307617188,60.9569206237793,9.579999923706055,11.300000190734863,53.79999923706055,6.239999771118164
2025-08-12,461.9949951171875,11.390000343322754,11.970000267028809,191.90097045898438,9.00648021697998,8.140000343322754,56.08768844604492,308.2699890136719,63.099998474121094,21.809999465942383,2.049999952316284,174.9499969482422,43.43000030517578,221.47000122070312,25.65999984741211,232.1590118408203,122.52799987792969,526.183349609375,61.36609649658203,9.649999618530273,12.819999694824219,54.5,6.369999885559082
2025-08-13,461.89520263671875,11.5,12.279999732971191,193.614990234375,9.314990043640137,8.720000267028809,56.31141662597656,309.2099914550781,63.290000915527344,22.219999313354492,2.0799999237060547,184.4199981689453,43.0,224.55999755859375,26.889999389648438,237.40008544921875,120.44400024414062,517.5733642578125,61.665489196777344,9.609999656677246,13.380000114440918,55.290000915527344,6.300000190734863
2025-08-14,462.5638122558594,11.479999542236328,12.0600004196167,193.4564666748047,9.34484577178955,8.489999771118164,56.24332809448242,307.25,62.900001525878906,23.860000610351562,2.0299999713897705,180.9499969482422,42.810001373291016,230.97999572753906,26.690000534057617,234.4729766845703,123.05599975585938,519.4623413085938,61.46589279174805,9.149999618530273,13.180000305175781,53.9900016784668,6.130000114440918
2025-08-15,461.0868835449219,11.579999923706055,12.239999771118164,193.10971069335938,9.414656639099121,8.520000457763672,56.88533020019531,307.42999267578125,62.939998626708984,24.559999465942383,1.9700000286102295,177.50999450683594,44.27000045776367,231.02999877929688,28.020000457763672,237.05397033691406,123.8949966430664,517.1657104492188,61.7752685546875,9.1899995803833,12.960000038146973,60.58000183105469,6.130000114440918
